196,242,3,4,1.0
196,257,2,3,1.0
196,111,4,3.75,0.25
196,25,4,4.25,0.25
196,382,4,3,1.0
196,202,3,4,1.0
196,153,5,5,0.0
196,286,5,4.571428571428571,0.4285714285714288
196,66,3,4,1.0
196,845,4,4.333333333333333,0.33333333333333304
196,173,2,3.5,1.5
196,238,4,4,0.0
196,762,3,3,0.0
196,381,4,5,1.0
196,306,4,4,0.0
196,8,5,4,1.0
196,655,5,5,0.0
196,13,2,2.75,0.75
196,692,5,5,0.0
196,269,3,3,0.0
196,285,5,4.6,0.40000000000000036
196,663,5,4.666666666666667,0.33333333333333304
196,428,4,3.5,0.5
196,116,3,3,0.0
196,340,3,3.6666666666666665,0.6666666666666665
186,302,3,5,2.0
186,257,4,4.5,0.5
186,118,2,2,0.0
186,95,3,4,1.0
186,98,5,4,1.0
186,327,3,4,1.0
186,332,4,5,1.0
186,100,4,4.5,0.5
186,322,5,5,0.0
186,288,1,2.3333333333333335,1.3333333333333335
186,237,2,2.6666666666666665,0.6666666666666665
186,1016,5,4.5,0.5
186,294,3,3.5,0.5
186,385,4,4,0.0
186,405,3,3,0.0
186,117,5,5,0.0
186,177,4,4,0.0
186,281,4,4,0.0
186,298,3,4,1.0
186,258,1,2.6666666666666665,1.6666666666666665
186,56,3,3,0.0
186,303,3,4,1.0
186,333,3,3,0.0
186,291,4,5,1.0
186,250,1,2,1.0
186,121,2,2.5,0.5
186,588,4,4,0.0
186,147,4,4.666666666666667,0.666666666666667
186,269,1,3.5,2.5
186,53,1,2,1.0
186,299,3,3,0.0
186,300,5,4.75,0.25
186,243,2,3,1.0
186,988,4,3,1.0
186,934,3,2,1.0
22,222,4,3.5,0.5
22,144,5,5,0.0
22,118,4,4.5,0.5
22,194,5,5,0.0
22,181,5,4,1.0
22,515,5,4.5,0.5
22,209,4,4,0.0
22,294,1,1.75,0.75
22,174,5,4,1.0
22,405,1,1.5,0.5
22,117,4,3.4,0.6000000000000001
22,79,4,5,1.0
22,258,5,4.25,0.75
22,172,4,4,0.0
22,688,1,2,1.0
22,127,5,4,1.0
22,89,5,4.333333333333333,0.666666666666667
22,176,5,5,0.0
22,238,5,5,0.0
22,211,3,4,1.0
22,50,5,4.571428571428571,0.4285714285714288
22,187,5,5,0.0
22,168,5,5,0.0
22,121,3,3.6666666666666665,0.6666666666666665
22,948,1,1.5,0.5
22,433,3,3,0.0
22,523,5,5,0.0
22,683,1,2,1.0
22,435,5,5,0.0
22,687,1,1.6666666666666667,0.6666666666666667
22,988,1,1.75,0.75
22,878,1,2,1.0
22,358,5,5,0.0
